,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
0,1733488732958,1,READ,3,893.95,527.87,765.01,873.47,893.95,893.95,893.95,1705304,85899345920,15,212,32072,1873709120,0,7
1,1733488732958,2,READ,9,1130.49,80.19,457.16,256.38,778.75,1130.49,1130.49,4721304,85899345920,15,823,73312,1873709120,0,16
2,1733488732958,3,READ,16,1035.26,127.81,456.2,309.5,771.58,1035.26,1035.26,8988720,85899345920,15,1529,128304,1873709120,0,28
3,1733488732958,4,READ,25,3411.97,55.55,761.24,553.47,1046.53,3411.97,3411.97,11844376,85899345920,15,2351,146624,1873709120,0,32
4,1733488732958,5,READ,32,1063.93,35.3,382.63,293.38,747.01,1063.93,1063.93,14695480,85899345920,15,2958,169544,1873709120,0,38
5,1733488732958,6,READ,38,1054.72,8.82,446.4,279.81,872.96,1054.72,1054.72,17541888,85899345920,15,3593,206184,1873709120,0,46
6,1733488732958,7,READ,44,1325.06,71.94,380.55,275.71,820.22,1325.06,1325.06,20497960,85899345920,15,4223,224472,1873709120,0,50
7,1733488732958,8,READ,50,1102.85,4.61,347.78,245.12,881.66,1102.85,1102.85,23454576,85899345920,15,4843,265728,1873709120,0,58
8,1733488732958,9,READ,55,1020.93,84.1,318.43,254.08,537.6,749.05,1020.93,26360560,85899345920,15,5437,288632,1873709120,0,64
9,1733488732958,10,READ,62,1185.79,49.54,358.09,297.21,564.74,943.1,1185.79,29527752,85899345920,15,6152,316104,1873709120,0,69
10,1733488732958,11,READ,68,1037.31,55.62,325.81,275.97,499.45,1005.05,1037.31,32333064,85899345920,15,6783,339024,1873709120,0,74
11,1733488732958,12,READ,147,784.89,12.58,262.92,244.99,331.01,677.89,784.89,35312552,85899345920,15,7401,746984,1873709120,0,163
12,1733488732958,13,READ,159,1288.19,10.84,267.84,244.74,344.83,552.96,1288.19,38039792,85899345920,15,8057,806576,1873709120,0,176
13,1733488732958,14,READ,3548,3502.08,0.0,59.37,13.41,30.96,3145.73,3475.45,40844912,85899345920,15,8650,17543016,1873709120,0,3838
14,1733488732958,15,READ,3876,3280.89,0.0,60.24,12.95,30.18,2936.83,3244.03,43664088,85899345920,16,9297,18931776,1873709120,1,4146
15,1733488733167,0,READ,186,1081.34,33.02,319.4,265.98,528.89,943.62,1081.34,89711688,85899345920,17,19331,902552,1873709120,0,197
16,1733488733167,1,READ,186,945.15,51.58,323.29,277.25,548.35,862.72,945.15,92640592,85899345920,17,19958,925456,1873709120,0,202
17,1733488733167,2,READ,183,1083.39,8.1,333.29,291.07,538.11,896.0,1083.39,95317488,85899345920,17,20572,939224,1873709120,0,205
18,1733488733167,3,READ,179,1080.32,70.14,338.28,291.33,529.92,986.11,1080.32,97875344,85899345920,17,21157,985064,1873709120,0,216
19,1733488733167,4,READ,178,1123.33,11.61,358.99,290.3,655.87,1041.41,1123.33,100190216,85899345920,17,21669,1003384,1873709120,0,219
20,1733488733167,5,READ,176,1103.87,0.4,442.59,365.06,874.5,1064.96,1103.87,102559648,85899345920,17,22174,1017072,1873709120,0,222
21,1733488733167,6,READ,176,1100.8,80.64,393.9,329.47,689.15,957.44,1100.8,104805408,85899345920,17,22672,1062896,1873709120,0,232
22,1733488733167,7,READ,175,1095.68,31.15,367.65,306.69,600.58,1078.27,1095.68,107229912,85899345920,17,23206,1067400,1873709120,0,233
23,1733488733167,8,READ,174,991.74,100.99,357.73,292.86,622.59,803.84,991.74,109503240,85899345920,17,23721,1104088,1873709120,0,241
24,1733488733167,9,READ,172,1009.66,81.34,377.37,302.33,710.65,924.16,1009.66,111969368,85899345920,17,24237,1122440,1873709120,0,245
25,1733488733167,10,READ,170,1085.44,132.35,356.05,321.28,521.47,867.33,1085.44,114261144,85899345920,17,24732,1145344,1873709120,0,250
26,1733488733167,11,READ,169,1081.34,55.33,371.52,314.88,615.93,976.89,1081.34,116465712,85899345920,17,25234,1154480,1873709120,0,253
27,1733488733167,12,READ,336,553.98,3.83,305.32,296.96,468.22,548.86,553.98,118894736,85899345920,17,25739,2392256,1873709120,0,522
28,1733488733167,13,READ,335,557.57,3.06,294.39,285.18,453.89,541.18,557.57,121379056,85899345920,18,26274,2470200,1873709120,0,540
29,1733488733167,14,READ,7362,65.98,0.0,14.0,12.65,26.69,41.05,54.3,123918496,85899345920,18,26816,52363112,1873709120,2,11442
30,1733488733167,15,READ,7326,64.86,0.0,13.95,12.57,26.57,40.93,52.64,126136880,85899345920,18,27333,53660112,1873709120,1,11732
31,1733488733358,0,READ,166,1042.43,186.24,400.51,328.96,762.88,1012.22,1042.43,172095496,85899345920,24,37301,1722480,1873709120,0,376
32,1733488733358,1,READ,165,946.17,5.12,396.17,339.2,646.14,920.06,946.17,174987840,85899345920,25,37921,1722496,1873709120,0,377
33,1733488733358,2,READ,165,1056.77,198.78,395.64,330.24,677.38,942.59,1056.77,177632616,85899345920,25,38530,1740848,1873709120,0,381
34,1733488733358,3,READ,166,1059.84,19.81,430.95,371.71,730.62,991.23,1059.84,180465368,85899345920,25,39152,1800408,1873709120,0,394
35,1733488733358,4,READ,167,1100.8,1.53,453.88,385.79,835.07,1014.27,1100.8,183307096,85899345920,25,39770,1827896,1873709120,0,399
36,1733488733358,5,READ,168,1125.38,0.2,546.92,520.19,954.88,1108.99,1125.38,185814368,85899345920,26,40324,1841600,1873709120,0,402
37,1733488733358,6,READ,168,1091.58,44.1,456.77,397.31,811.52,1069.06,1091.58,188225312,85899345920,27,40862,1882872,1873709120,0,411
38,1733488733358,7,READ,168,1029.63,53.12,453.7,384.51,794.11,1011.71,1029.63,190531016,85899345920,28,41375,1919512,1873709120,0,420
39,1733488733358,8,READ,167,1095.68,183.17,419.71,355.58,724.48,1001.98,1095.68,192946784,85899345920,28,41885,1919528,1873709120,0,419
40,1733488733358,9,READ,168,1032.19,39.23,397.27,356.61,683.01,972.29,1032.19,195215720,85899345920,28,42410,1924096,1873709120,0,420
41,1733488733358,10,READ,168,1048.06,189.7,455.71,408.57,754.17,997.38,1048.06,197452392,85899345920,28,42912,1960768,1873709120,0,429
42,1733488733358,11,READ,169,1071.1,192.9,424.75,368.89,735.74,919.55,1071.1,199767136,85899345920,28,43395,1951568,1873709120,0,428
43,1733488733358,12,READ,336,545.79,0.78,294.69,291.58,456.45,538.11,545.79,202150720,85899345920,28,43913,4000776,1873709120,0,874
44,1733488733358,13,READ,336,555.01,1.29,297.73,284.93,473.86,546.82,555.01,204580208,85899345920,28,44442,4106208,1873709120,0,896
45,1733488733358,14,READ,7375,301.82,0.0,14.25,12.82,27.1,43.45,70.14,206702440,85899345920,28,44927,87338536,1873709120,8,19066
46,1733488733358,15,READ,7382,327.42,0.01,13.96,12.57,26.48,40.61,75.71,208962240,85899345920,30,45425,88621832,1873709120,7,19348
47,1733488733549,0,READ,166,1047.04,70.02,377.76,310.27,622.59,882.69,1047.04,255104760,85899345920,39,55397,2537984,1873709120,0,554
48,1733488733549,1,READ,168,1103.87,184.45,410.84,329.98,686.59,1025.54,1103.87,257845768,85899345920,39,56036,2519664,1873709120,0,550
49,1733488733549,2,READ,167,982.01,4.97,412.29,377.34,661.5,951.81,982.01,260577816,85899345920,39,56625,2528848,1873709120,0,553
50,1733488733549,3,READ,167,1092.61,90.75,413.6,361.47,664.58,993.79,1092.61,263254808,85899345920,39,57216,2597592,1873709120,0,567
51,1733488733549,4,READ,165,1050.62,37.12,449.03,388.86,801.79,1018.37,1050.62,265826144,85899345920,40,57783,2615912,1873709120,0,572
52,1733488733549,5,READ,167,1113.09,26.86,501.41,430.33,856.06,1067.01,1113.09,268117952,85899345920,40,58311,2625048,1873709120,0,574
53,1733488733549,6,READ,165,1072.13,7.62,431.21,378.11,743.42,1062.91,1072.13,270377800,85899345920,40,58798,2666320,1873709120,0,582
54,1733488733549,7,READ,166,1112.06,26.03,413.0,366.59,656.89,974.34,1112.06,272564112,85899345920,41,59291,2721280,1873709120,0,595
55,1733488733549,8,READ,165,1111.04,30.18,381.65,315.65,655.87,888.32,1111.04,274846688,85899345920,41,59784,2702944,1873709120,0,591
56,1733488733549,9,READ,165,1036.29,85.18,411.67,363.01,686.59,886.78,1036.29,277317336,85899345920,41,60308,2735032,1873709120,0,597
57,1733488733549,10,READ,166,1083.39,139.9,428.48,364.54,689.15,984.06,1083.39,279581656,85899345920,42,60815,2744168,1873709120,0,599
58,1733488733549,11,READ,167,1038.85,197.76,399.8,344.57,610.82,942.59,1038.85,281818264,85899345920,42,61300,2753320,1873709120,0,602
59,1733488733549,12,READ,331,559.1,4.1,310.27,296.7,470.78,532.48,559.1,284211080,85899345920,44,61817,5586408,1873709120,0,1219
60,1733488733549,13,READ,330,561.15,0.63,293.2,286.98,460.54,549.38,561.15,286365544,85899345920,45,62309,5705608,1873709120,0,1245
61,1733488733549,14,READ,7277,63.26,0.0,13.83,12.61,26.5,40.7,52.86,288579424,85899345920,45,62770,121906064,1873709120,10,26610
62,1733488733549,15,READ,7298,70.66,0.0,14.0,12.78,26.7,40.8,52.58,290839192,85899345920,45,63266,123194088,1873709120,21,26891
63,1733488733738,0,READ,164,1071.1,15.18,379.35,295.68,655.36,900.1,1071.1,335529416,85899345920,57,72932,3316896,1873709120,0,725
64,1733488733738,1,READ,165,1079.3,5.24,434.59,361.98,755.71,1069.06,1079.3,338558864,85899345920,58,73621,3335200,1873709120,0,728
65,1733488733738,2,READ,166,1106.94,87.3,407.78,342.78,694.27,1046.53,1106.94,341593088,85899345920,58,74279,3321448,1873709120,0,725
66,1733488733738,3,READ,166,1093.63,35.55,420.37,320.51,789.5,1004.03,1093.63,344535488,85899345920,58,74938,3403912,1873709120,0,743
67,1733488733738,4,READ,166,1071.1,2.03,484.56,417.02,911.87,1061.89,1071.1,347464136,85899345920,58,75573,3431368,1873709120,0,749
68,1733488733738,5,READ,163,1116.16,12.87,545.72,519.17,962.05,1093.63,1116.16,350291792,85899345920,59,76190,3399248,1873709120,0,742
69,1733488733738,6,READ,170,1094.65,7.75,445.26,361.98,866.3,1060.86,1094.65,353243392,85899345920,59,76807,3467944,1873709120,0,758
70,1733488733738,7,READ,172,1095.68,2.04,472.96,394.5,928.25,1061.89,1095.68,356039200,85899345920,61,77440,3545824,1873709120,0,775
71,1733488733738,8,READ,173,1076.22,20.67,459.7,372.74,829.95,1062.91,1076.22,358885480,85899345920,61,78072,3532056,1873709120,0,772
72,1733488733738,9,READ,174,1099.78,6.26,432.71,358.4,809.98,1058.82,1099.78,361713584,85899345920,62,78692,3568728,1873709120,0,780
73,1733488733738,10,READ,174,1091.58,1.22,435.26,358.91,824.32,1017.86,1091.58,364395016,85899345920,63,79277,3568728,1873709120,0,780
74,1733488733738,11,READ,175,1103.87,8.14,471.93,404.22,879.62,1082.37,1103.87,367025992,85899345920,65,79864,3596200,1873709120,0,786
75,1733488733738,12,READ,352,2629.63,4.08,288.17,267.01,469.25,546.3,2629.63,369886168,85899345920,66,80453,7272760,1873709120,1,1587
76,1733488733738,13,READ,352,552.45,6.78,282.53,270.59,472.32,542.72,552.45,372480520,85899345920,67,81033,7419464,1873709120,1,1619
77,1733488733738,14,READ,7699,3504.13,0.0,23.74,12.94,29.33,170.62,2924.54,375262784,85899345920,68,81644,158394144,1873709120,21,34579
78,1733488733738,15,READ,7774,2146.3,0.0,16.34,12.57,28.08,78.91,474.11,378095472,85899345920,70,82244,160186440,1873709120,32,34957
79,1733488733944,0,READ,178,1004.03,41.86,445.55,409.09,795.65,958.46,1004.03,424388816,85899345920,83,92313,4191752,1873709120,0,916
80,1733488733944,1,READ,178,1071.1,65.6,437.48,361.98,799.74,1062.91,1071.1,427441536,85899345920,84,93001,4196336,1873709120,0,916
81,1733488733944,2,READ,178,1084.41,32.48,475.93,398.85,860.16,1041.41,1084.41,430480296,85899345920,87,93663,4173400,1873709120,0,912
82,1733488733944,3,READ,178,1125.38,64.16,456.87,393.47,762.37,1026.56,1125.38,433519168,85899345920,87,94339,4283400,1873709120,0,935
83,1733488733944,4,READ,178,1084.41,8.46,468.43,373.76,913.41,1079.3,1084.41,436182328,85899345920,87,94940,4287968,1873709120,0,936
84,1733488733944,5,READ,180,1127.42,6.17,539.48,517.63,979.46,1115.13,1127.42,438620936,85899345920,87,95495,4255864,1873709120,0,930
85,1733488733944,6,READ,178,1117.18,11.91,473.4,408.57,870.4,1085.44,1117.18,441105256,85899345920,87,96041,4347544,1873709120,0,949
86,1733488733944,7,READ,177,1114.11,58.88,504.8,469.25,879.62,1092.61,1114.11,443649248,85899345920,88,96607,4416256,1873709120,0,964
87,1733488733944,8,READ,176,1110.02,1.33,418.03,368.89,688.13,1088.51,1110.02,446179488,85899345920,89,97140,4379600,1873709120,0,957
88,1733488733944,9,READ,176,1095.68,71.81,431.46,380.42,734.72,1046.53,1095.68,448769400,85899345920,89,97707,4425456,1873709120,0,967
89,1733488733944,10,READ,175,1096.7,9.07,451.34,413.95,793.09,1029.63,1096.7,451680176,85899345920,89,98288,4425456,1873709120,0,967
90,1733488733944,11,READ,176,1030.14,42.94,453.92,403.45,775.68,1005.57,1030.14,454563240,85899345920,91,98926,4448328,1873709120,0,971
91,1733488733944,12,READ,352,558.08,1.02,284.08,269.82,465.41,543.74,558.08,457180448,85899345920,92,99524,8945456,1873709120,2,1953
92,1733488733944,13,READ,351,567.81,1.5,301.63,293.12,474.11,542.21,567.81,459953528,85899345920,93,100116,9124232,1873709120,2,1991
93,1733488733944,14,READ,7752,61.92,0.0,13.89,12.85,26.13,39.42,51.52,462593672,85899345920,94,100695,195248928,1873709120,34,42608
94,1733488733944,15,READ,7748,65.5,0.0,13.67,12.48,26.18,39.01,51.36,465238304,85899345920,97,101282,196940472,1873709120,44,42975
95,1733488734145,0,READ,175,1079.3,17.79,424.55,353.54,782.85,978.43,1079.3,511508696,85899345920,118,111348,5053032,1873709120,0,1103
96,1733488734145,1,READ,175,1058.82,1.39,398.21,320.0,709.12,1031.68,1058.82,514373376,85899345920,120,111989,5053032,1873709120,0,1104
97,1733488734145,2,READ,174,1080.32,0.86,463.52,417.02,792.58,1052.67,1080.32,517403032,85899345920,121,112634,5007192,1873709120,0,1094
98,1733488734145,3,READ,175,1088.51,44.19,437.73,361.73,771.58,1024.51,1088.51,520148688,85899345920,122,113270,5144680,1873709120,0,1123
99,1733488734145,4,READ,175,1119.23,7.82,501.37,425.73,961.02,1060.86,1119.23,523008720,85899345920,123,113862,5167568,1873709120,0,1129
100,1733488734145,5,READ,180,1116.16,0.16,547.22,525.82,1005.57,1111.04,1116.16,525639488,85899345920,126,114471,5112560,1873709120,0,1117
101,1733488734145,6,READ,176,1097.73,1.42,454.18,396.8,834.56,1064.96,1097.73,528421336,85899345920,128,115069,5213328,1873709120,0,1138
102,1733488734145,7,READ,176,1039.87,17.12,424.43,348.93,744.45,992.77,1039.87,531033896,85899345920,128,115640,5263688,1873709120,0,1149
103,1733488734145,8,READ,177,1077.25,4.91,434.48,378.88,783.87,1070.08,1077.25,533646584,85899345920,128,116217,5222448,1873709120,0,1141
104,1733488734145,9,READ,176,1084.41,85.5,447.97,378.62,856.58,1065.98,0.01,536300672,85899345920,128,116786,5282056,1873709120,0,1153
105,1733488734145,10,READ,176,1091.58,27.81,439.09,399.62,722.94,1039.36,1091.58,539142688,85899345920,128,117375,5268304,1873709120,0,1150
106,1733488734145,11,READ,176,1091.58,8.02,429.64,347.13,791.04,1037.31,1091.58,541750872,85899345920,130,117987,5286608,1873709120,0,1154
107,1733488734145,12,READ,351,564.74,0.26,291.19,296.19,477.18,541.18,564.74,544390760,85899345920,131,118532,10645592,1873709120,4,2324
108,1733488734145,13,READ,350,555.52,4.1,291.72,279.3,472.06,537.6,555.52,547113384,85899345920,132,119135,10819768,1873709120,4,2363
109,1733488734145,14,READ,7749,66.37,0.0,14.12,12.81,27.14,41.76,54.34,549849712,85899345920,134,119726,231975408,1873709120,52,50620
110,1733488734145,15,READ,7766,59.39,0.0,13.92,12.76,26.75,40.06,51.52,552494616,85899345920,134,120303,233749512,1873709120,61,51008
111,1733488734346,0,READ,175,1060.86,40.9,419.75,350.21,791.55,1015.29,1060.86,598606760,85899345920,169,130334,5923560,1873709120,1,1293
112,1733488734346,1,READ,176,1068.03,35.71,439.07,368.13,815.1,1039.87,1068.03,601737168,85899345920,170,131029,5909792,1873709120,1,1290
113,1733488734346,2,READ,176,1079.3,33.57,453.83,380.67,783.87,1020.93,1079.3,604679904,85899345920,171,131694,5845632,1873709120,1,1276
114,1733488734346,3,READ,176,1070.08,9.99,423.7,349.95,762.37,939.52,1070.08,607682184,85899345920,173,132326,6001456,1873709120,1,1310
115,1733488734346,4,READ,177,1102.85,17.12,546.01,524.8,958.98,1099.78,1102.85,610647584,85899345920,173,132964,6042664,1873709120,1,1320
116,1733488734346,5,READ,178,1088.51,14.11,540.64,478.46,1003.01,1082.37,1088.51,613425376,85899345920,175,133599,5950968,1873709120,1,1300
117,1733488734346,6,READ,177,1108.99,1.03,454.42,403.2,803.33,1071.1,1108.99,616354216,85899345920,175,134213,6047200,1873709120,1,1320
118,1733488734346,7,READ,176,1058.82,40.9,417.24,349.18,700.93,921.09,1058.82,619030920,85899345920,175,134833,6129680,1873709120,1,1339
119,1733488734346,8,READ,178,1091.58,54.72,429.43,370.43,764.93,1055.74,1091.58,621914016,85899345920,175,135460,6065504,1873709120,1,1325
120,1733488734346,9,READ,178,1029.63,21.49,434.67,368.64,777.73,987.65,1029.63,624751320,85899345920,175,136088,6125096,1873709120,1,1338
121,1733488734346,10,READ,177,1033.21,40.96,454.6,399.87,787.46,1018.88,1033.21,627478624,85899345920,177,136662,6129680,1873709120,1,1338
122,1733488734346,11,READ,178,1102.85,0.83,432.24,362.5,768.0,1053.69,1102.85,630288424,85899345920,177,137278,6175488,1873709120,1,1348
123,1733488734346,12,READ,358,542.21,1.06,296.28,286.21,471.04,536.58,542.21,633047880,85899345920,180,137871,12377816,1873709120,4,2701
124,1733488734346,13,READ,357,566.27,1.38,300.35,285.69,481.79,539.13,566.27,635844072,85899345920,181,138500,12556608,1873709120,4,2741
125,1733488734346,14,READ,7883,67.78,0.0,13.87,12.62,26.7,40.29,49.53,638493464,85899345920,183,139089,269380352,1873709120,73,58783
126,1733488734346,15,READ,7905,63.04,0.0,14.04,12.75,26.82,41.5,51.45,641440576,85899345920,185,139715,271305824,1873709120,79,59203
127,1733488734552,0,READ,178,961.02,14.07,425.61,367.87,765.95,922.11,961.02,687582952,85899345920,210,149747,6816896,1873709120,2,1488
128,1733488734552,1,READ,178,1107.97,44.74,425.24,339.97,776.19,1047.04,1107.97,690695296,85899345920,210,150434,6807728,1873709120,2,1486
129,1733488734552,2,READ,178,1043.45,29.82,424.27,359.94,726.53,1010.17,1043.45,693665584,85899345920,211,151067,6734400,1873709120,2,1470
130,1733488734552,3,READ,179,1108.99,35.97,439.6,347.13,794.11,1089.54,1108.99,696424944,85899345920,212,151732,6862736,1873709120,2,1499
131,1733488734552,4,READ,178,1106.94,0.52,489.61,431.1,945.15,1101.82,1106.94,699440976,85899345920,212,152352,6926864,1873709120,2,1512
132,1733488734552,5,READ,182,1095.68,0.6,515.29,479.74,972.29,1095.68,0.01,702255024,85899345920,215,152976,6835152,1873709120,2,1492
133,1733488734552,6,READ,179,1105.92,29.15,456.24,389.63,871.93,1051.65,1105.92,705179392,85899345920,218,153600,6903912,1873709120,2,1508
134,1733488734552,7,READ,180,1086.46,22.11,448.06,388.35,755.2,1026.56,1086.46,708002944,85899345920,219,154238,6990944,1873709120,2,1526
135,1733488734552,8,READ,180,1102.85,53.73,445.57,402.18,804.35,1056.77,1102.85,710890528,85899345920,220,154860,6935936,1873709120,2,1514
136,1733488734552,9,READ,180,1096.7,28.42,441.98,376.83,784.38,944.64,1096.7,713737064,85899345920,220,155484,6972624,1873709120,2,1522
137,1733488734552,10,READ,180,1099.78,5.02,456.23,406.01,843.26,1036.8,1099.78,716345312,85899345920,222,156072,6981792,1873709120,2,1525
138,1733488734552,11,READ,180,1100.8,18.93,445.59,408.06,695.81,962.05,1100.8,719155240,85899345920,225,156675,7027616,1873709120,2,1534
139,1733488734552,12,READ,358,562.69,0.54,289.02,279.3,464.13,536.58,562.69,721896296,85899345920,226,157256,14101016,1873709120,4,3077
140,1733488734552,13,READ,359,557.05,1.64,278.05,262.14,461.31,534.01,557.05,724554776,85899345920,227,157868,14293560,1873709120,4,3120
141,1733488734552,14,READ,7873,711.17,0.0,14.49,12.54,27.01,43.17,239.62,727034496,85899345920,227,158434,306679848,1873709120,84,66924
142,1733488734552,15,READ,7891,62.72,0.0,13.98,12.88,26.73,40.0,50.27,729876144,85899345920,227,159002,308784112,1873709120,96,67377
143,1733488734757,0,READ,178,1094.65,38.98,444.04,367.1,810.5,1011.2,1094.65,775853912,85899345920,265,169017,7664472,1873709120,3,1673
144,1733488734757,1,READ,178,1132.54,2.28,434.37,331.26,882.17,1047.55,1132.54,778934264,85899345920,269,169672,7673656,1873709120,3,1676
145,1733488734757,2,READ,179,1072.13,29.2,418.35,344.83,794.62,1020.41,1072.13,781862992,85899345920,269,170342,7591112,1873709120,3,1658
146,1733488734757,3,READ,178,1107.97,11.17,466.33,386.81,832.0,1078.27,1107.97,784824016,85899345920,270,170994,7710296,1873709120,3,1684
147,1733488734757,4,READ,178,1097.73,22.94,492.28,418.05,916.99,1064.96,1097.73,787665952,85899345920,271,171587,7783608,1873709120,3,1699
148,1733488734757,5,READ,178,1103.87,11.28,525.95,470.78,951.81,1072.13,1103.87,790718496,85899345920,271,172216,7705648,1873709120,3,1682
149,1733488734757,6,READ,180,1098.75,3.0,441.32,365.06,813.57,1027.58,1098.75,793766504,85899345920,273,172907,7756056,1873709120,3,1695
150,1733488734757,7,READ,179,1114.11,34.37,447.55,397.06,828.41,1078.27,1114.11,796567024,85899345920,276,173572,7856856,1873709120,3,1716
151,1733488734757,8,READ,179,1104.89,53.73,426.9,353.79,778.24,1043.45,1104.89,799546576,85899345920,276,174188,7806448,1873709120,3,1704
152,1733488734757,9,READ,179,1090.56,37.5,462.64,395.77,798.21,1065.98,1090.56,802599440,85899345920,277,174845,7843136,1873709120,3,1712
153,1733488734757,10,READ,180,1118.21,10.96,420.13,336.13,744.45,1037.31,1118.21,805574248,85899345920,280,175498,7838536,1873709120,3,1711
154,1733488734757,11,READ,180,1090.56,10.6,454.3,382.21,836.1,1084.41,1090.56,808700504,85899345920,280,176152,7911864,1873709120,3,1727
155,1733488734757,12,READ,362,555.01,0.46,291.82,277.76,473.09,544.25,555.01,811730432,85899345920,282,176817,15879032,1873709120,4,3465
156,1733488734757,13,READ,364,558.08,1.48,296.32,293.38,483.58,546.3,558.08,814801632,85899345920,284,177481,16053224,1873709120,4,3503
157,1733488734757,14,READ,8027,745.98,0.0,14.73,12.94,27.65,42.34,262.4,817652576,85899345920,286,178141,344758576,1873709120,114,75223
158,1733488734757,15,READ,8085,59.1,0.0,13.82,12.65,26.5,39.23,49.57,820581512,85899345920,290,178760,347298272,1873709120,117,75779
159,1733488734968,0,READ,183,1024.0,189.06,370.95,314.62,620.54,956.93,1024.0,866952992,85899345920,307,188879,8544104,1873709120,3,1866
160,1733488734968,1,READ,183,1048.06,183.3,413.01,355.33,664.06,924.16,1048.06,870014784,85899345920,310,189551,8557840,1873709120,3,1869
161,1733488734968,2,READ,184,1105.92,174.72,387.21,325.89,626.17,1068.03,1105.92,872874672,85899345920,311,190196,8466128,1873709120,3,1848
162,1733488734968,3,READ,184,1120.26,18.32,392.69,332.8,643.07,909.82,1120.26,875968296,85899345920,315,190854,8585280,1873709120,3,1874
163,1733488734968,4,READ,183,1103.87,0.13,468.7,416.0,887.81,1054.72,1103.87,878842128,85899345920,315,191483,8663192,1873709120,3,1891
164,1733488734968,5,READ,182,1114.11,3.3,542.51,493.57,952.32,1067.01,1114.11,881784672,85899345920,316,192155,8571464,1873709120,3,1872
165,1733488734968,6,READ,184,1041.41,20.32,470.84,439.04,841.73,981.5,0.01,884732136,85899345920,317,192788,8672328,1873709120,3,1893
166,1733488734968,7,READ,184,1089.54,169.09,405.87,318.46,740.86,1026.05,1089.54,887771024,85899345920,318,193455,8727256,1873709120,3,1905
167,1733488734968,8,READ,183,1072.13,25.82,400.56,332.8,700.41,1010.17,1072.13,890763816,85899345920,321,194083,8681400,1873709120,3,1895
168,1733488734968,9,READ,183,1076.22,79.3,424.16,366.08,780.29,1052.67,1076.22,893633096,85899345920,323,194709,8736424,1873709120,3,1908
169,1733488734968,10,READ,184,1080.32,12.7,429.8,368.13,774.65,1041.41,1080.32,896763808,85899345920,324,195404,8722672,1873709120,3,1905
170,1733488734968,11,READ,182,1030.14,76.1,418.39,360.19,723.97,968.19,1030.14,899546072,85899345920,325,196039,8786816,1873709120,3,1919
171,1733488734968,12,READ,366,565.25,6.06,305.49,291.33,469.5,549.38,565.25,902429232,85899345920,328,196655,17652512,1873709120,5,3853
172,1733488734968,13,READ,365,557.05,1.96,290.6,279.04,463.36,550.91,557.05,905578200,85899345920,333,197313,17845040,1873709120,5,3894
173,1733488734968,14,READ,8073,151.94,0.0,14.4,12.91,27.42,44.64,71.23,908443072,85899345920,337,197967,383071104,1873709120,138,83594
174,1733488734968,15,READ,8058,159.1,0.0,14.1,12.94,26.53,40.93,54.08,911404064,85899345920,339,198606,385610880,1873709120,140,84150
175,1733488735178,0,READ,183,1097.73,32.27,442.7,386.81,760.32,1061.89,1097.73,957831432,85899345920,390,208676,9432872,1873709120,5,2059
176,1733488735178,1,READ,183,1054.72,33.15,406.73,346.11,710.65,941.57,1054.72,960879408,85899345920,392,209361,9428272,1873709120,5,2058
177,1733488735178,2,READ,182,1097.73,38.21,428.7,382.21,744.45,1052.67,1097.73,963877088,85899345920,393,210027,9345776,1873709120,5,2041
178,1733488735178,3,READ,183,1070.08,16.26,415.44,350.21,700.41,1031.68,1070.08,966760392,85899345920,396,210659,9442040,1873709120,5,2061
179,1733488735178,4,READ,183,1110.02,12.69,513.91,469.25,902.65,1106.94,1110.02,969570192,85899345920,401,211310,9542856,1873709120,5,2084
180,1733488735178,5,READ,186,1116.16,12.36,512.37,485.12,910.85,1080.32,1116.16,972512720,85899345920,404,211937,9451128,1873709120,5,2064
181,1733488735178,6,READ,182,1065.98,25.02,471.35,408.32,837.12,1047.55,1065.98,975556032,85899345920,406,212577,9547376,1873709120,5,2084
182,1733488735178,7,READ,183,1071.1,4.06,444.91,375.04,782.85,986.11,1071.1,978567256,85899345920,411,213230,9588568,1873709120,5,2094
183,1733488735178,8,READ,183,1049.6,34.14,424.09,361.98,713.73,1007.62,1049.6,981542016,85899345920,413,213900,9551880,1873709120,5,2085
184,1733488735178,9,READ,183,1019.39,13.56,424.96,387.07,700.93,929.79,1019.39,984498312,85899345920,416,214554,9625224,1873709120,5,2101
185,1733488735178,10,READ,183,1079.3,33.92,426.33,381.69,719.87,1019.9,1079.3,987481872,85899345920,420,215181,9606824,1873709120,5,2097
186,1733488735178,11,READ,183,1094.65,43.46,423.89,341.76,758.27,1037.82,1094.65,990364648,85899345920,426,215826,9657216,1873709120,5,2109
187,1733488735178,12,READ,366,562.17,3.4,295.98,282.62,470.27,540.67,0.01,993421888,85899345920,428,216491,19403040,1873709120,8,4235
188,1733488735178,13,READ,366,551.42,0.43,296.52,288.51,462.59,539.65,551.42,996273040,85899345920,429,217129,19595584,1873709120,10,4276
189,1733488735178,14,READ,8105,59.71,0.0,13.94,12.81,26.62,40.86,50.08,999293880,85899345920,429,217773,421535000,1873709120,170,91972
190,1733488735178,15,READ,8091,66.56,0.0,13.86,12.63,26.7,40.06,50.91,1002231920,85899345920,430,218411,423987472,1873709120,168,92516
